
DEFAULTVARIABLEVALUE:ORDEREDPAIR|0,0
DEFAULTVARIABLEVALUE:NUMBER|0
DEFAULTVARIABLEVALUE:DICE|0
DEFAULTVARIABLEVALUE:BOOLEAN|False
DEFAULTVARIABLEVALUE:STRING|
DEFAULTVARIABLEVALUE:ALIGNMENT|None



###Block: Required Facts
FACTDEF:RACE|BaseSize	DATAFORMAT:SIZEADJUSTMENT	VISIBLE:YES	REQUIRED:YES	EXPLANATION:All Races must have a Size - in the case of multiple sizes, use the SMALLEST allowed.


FACTDEF:ABILITY|RaceSizeAllowed_Fine		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Race Size Fine		EXPLANATION:What Size can a race be?
FACTDEF:ABILITY|RaceSizeAllowed_Diminutive	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Race Size Diminutive	EXPLANATION:What Size can a race be?
FACTDEF:ABILITY|RaceSizeAllowed_Tiny		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Race Size Tiny		EXPLANATION:What Size can a race be?
FACTDEF:ABILITY|RaceSizeAllowed_Small		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Race Size Small		EXPLANATION:What Size can a race be?
FACTDEF:ABILITY|RaceSizeAllowed_Medium		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Race Size Medium		EXPLANATION:What Size can a race be?
FACTDEF:ABILITY|RaceSizeAllowed_Large		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Race Size Large		EXPLANATION:What Size can a race be?
FACTDEF:ABILITY|RaceSizeAllowed_Huge		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Race Size Huge		EXPLANATION:What Size can a race be?
FACTDEF:ABILITY|RaceSizeAllowed_Gargantuan	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Race Size Gargantuan	EXPLANATION:What Size can a race be?
FACTDEF:ABILITY|RaceSizeAllowed_Colossal		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Race Size Colossal	EXPLANATION:What Size can a race be?


# Name			Dataformat		Visible	Explanation
FACTSETDEF:SPELL|Deity	DATAFORMAT:String	VISIBLE:YES	EXPLANATION:Just for Listing deities that are predisposed to certain spells.
#
FACTSETDEF:DEITY|Animal	DATAFORMAT:String	VISIBLE:YES	EXPLANATION:The deity's sacred animal(s)
FACTSETDEF:DEITY|Colors	DATAFORMAT:String	VISIBLE:YES	EXPLANATION:The deity's sacred color(s)



DYNAMICSCOPE:Vision

